Country,Code,Year,Account,Digitally enabled Account,Made a Digital Payment,Mobile Money Account,Internet_users,GDP,Mobile_cellular_subscription,Commercial_bank_branches,Poverty_ratio,Urban_population,Bank Account,Financial_Institution_Account_only,Mobile_Money_Account_only,Both_Accounts
Senegal,SEN,2021,55.96,,50.53,44.89,55.04,1598.11,115.33,5.66,37.5,52.23,28.13,11.07,27.830000000000002,17.059999999999995
Senegal,SEN,2022,,,,,56.83,1574.03,118.15,5.51,,53.44,,,,
Senegal,SEN,2024,76.46,73.56,69.92,66.91,60.12,1773.22,123.89,,,55.24,48.05,9.549999999999997,28.409999999999997,38.5
Sierra Leone,SLE,2011,15.34,,,,0.9,761.15,33.46,2.63,62.4,39.05,15.34,,0.0,
Sierra Leone,SLE,2014,15.58,,9.04,4.45,6.06,1117.76,69.18,,,40.33,14.15,11.129999999999999,1.4299999999999997,3.0200000000000014
Sierra Leone,SLE,2017,19.81,,13.15,11.02,9.3,779.19,89.78,,,41.71,12.39,8.79,7.419999999999998,3.6000000000000014
Sierra Leone,SLE,2021,28.85,,24.63,19.04,18.65,885.4,101.64,,,43.73,13.78,9.810000000000002,15.070000000000002,3.969999999999999
Sierra Leone,SLE,2022,,,,,21.51,860.37,107.88,2.57,,44.27,,,,
Sierra Leone,SLE,2024,38.62,33.82,32.6,32.2,25.1,806.65,,,,45.36,15.01,6.419999999999995,23.61,8.590000000000003
Somalia,SOM,2011,,,,,,,,,,,,,,
Somalia,SOM,2014,38.66,,35.14,37.07,,,,,,,7.86,1.5899999999999963,30.799999999999997,6.270000000000003
Somalia,SOM,2017,,,,,,,,,,,,,,
Somalia,SOM,2021,,,,,,,,,,,,,,
Somalia,SOM,2022,,,,,,,,,,,,,,
Somalia,SOM,2024,,,,,,,,,,,,,,
South Africa,ZAF,2011,53.65,,,,33.97,8646.06,120.77,10.0,,62.85,53.65,,0.0,
South Africa,ZAF,2014,70.32,,52.7,14.43,49.0,6856.73,142.6,10.65,46.7,63.14,68.77,55.88999999999999,1.5499999999999972,12.880000000000003
South Africa,ZAF,2017,69.22,,43.08,19.02,56.17,6618.34,153.55,10.38,,63.33,67.44,50.2,1.7800000000000011,17.239999999999995
South Africa,ZAF,2021,85.38,,70.16,36.57,74.97,6828.76,163.13,9.48,,63.45,84.11,48.809999999999995,1.269999999999996,35.300000000000004
South Africa,ZAF,2022,,,,,78.29,6534.25,160.73,9.1,37.9,63.48,,,,
South Africa,ZAF,2024,81.13,67.76,44.64,31.62,78.36,6267.19,179.34,,,63.69,78.43,49.50999999999999,2.6999999999999886,28.920000000000016
South Sudan,SSD,2011,,,,,,1448.98,17.5,0.71,,17.78,,,,
South Sudan,SSD,2014,,,,,2.6,1242.73,25.6,1.79,,18.55,,,,
South Sudan,SSD,2017,8.57,,4.59,,4.1,,27.18,1.6,,19.35,8.57,,0.0,
South Sudan,SSD,2021,5.83,,3.24,0.85,,,30.15,1.57,,20.48,5.48,4.98,0.34999999999999964,0.5
South Sudan,SSD,2022,,,,,,,48.49,1.58,,20.78,,,,
South Sudan,SSD,2024,,,,,,,,,,21.38,,,,
Sudan,SDN,2011,6.9,,,,,1332.66,69.33,3.02,,32.91,6.9,,0.0,
Sudan,SDN,2014,15.27,,10.73,,,1275.44,71.6,3.2,,33.76,15.27,,0.0,
Sudan,SDN,2017,,,,,18.6,966.51,67.06,3.32,,34.29,,,,
Sudan,SDN,2021,,,,,,712.12,71.77,,,34.64,,,,
Sudan,SDN,2022,,,,,,1046.24,70.21,,,34.72,,,,
Sudan,SDN,2024,,,,,,984.61,,,,34.87,,,,
Tanzania,TZA,2011,17.26,,,,3.2,775.39,55.76,2.09,28.2,28.87,17.26,,0.0,
Tanzania,TZA,2014,39.78,,33.62,32.36,7.0,1022.75,63.28,2.63,,30.64,19.04,7.420000000000002,20.740000000000002,11.619999999999997
Tanzania,TZA,2017,46.75,,39.77,38.54,14.46,986.67,71.79,2.76,,32.3,20.97,8.21,25.78,12.759999999999998
Tanzania,TZA,2021,52.43,,48.4,44.58,22.88,1159.86,86.02,2.45,,34.35,23.32,7.850000000000001,29.11,15.469999999999999
Tanzania,TZA,2022,,,,,26.86,1207.52,93.02,2.35,,34.82,,,,
Tanzania,TZA,2024,59.83,55.04,54.63,52.85,31.16,1186.72,126.56,,,36.17,21.94,6.979999999999997,37.89,14.96
Togo,TGO,2011,10.19,,,,3.5,783.99,38.97,4.28,,37.99,10.19,,0.0,
Togo,TGO,2014,18.25,,2.94,1.41,5.7,855.58,60.44,4.74,,39.28,17.61,16.84,0.6400000000000006,0.7699999999999996
Togo,TGO,2017,45.29,,27.02,21.46,12.36,792.77,75.34,5.43,,40.58,34.07,23.83,11.219999999999999,10.240000000000002
